iter	Passed	Remaining
934	4463	310
935	4468	305
936	4472	300
937	4477	295
938	4482	291
939	4487	286
940	4492	281
941	4497	276
942	4502	272
943	4507	267
944	4512	262
945	4517	257
946	4521	253
947	4526	248
948	4531	243
949	4535	238
950	4540	233
951	4545	229
952	4550	224
953	4555	219
954	4560	214
955	4564	210
956	4569	205
957	4574	200
958	4579	195
959	4583	190
960	4588	186
961	4593	181
962	4598	176
963	4603	171
964	4607	167
965	4612	162
966	4617	157
967	4622	152
968	4627	148
969	4631	143
970	4636	138
971	4641	133
972	4646	128
973	4650	124
974	4655	119
975	4660	114
976	4665	109
977	4670	105
978	4675	100
979	4680	95
980	4685	90
981	4690	85
982	4695	81
983	4699	76
984	4705	71
985	4709	66
986	4714	62
987	4719	57
988	4724	52
989	4729	47
990	4735	43
991	4740	38
992	4744	33
993	4749	28
994	4754	23
995	4759	19
996	4764	14
997	4770	9
998	4774	4
999	4779	0
